feature_set,feature_order,feature,source,dtype,non_null_count,missing_pct,modeling_non_null_count,modeling_missing_pct,family,phase,window,metric,candidate_model_feature,aggregate_review_group,included_in_aggregate_plus_monitoring_full
monitoring_core_wake_pre_sleep,55,pre_sleep_4h_stress_high_fraction,monitoring core v0,float64,523,11.205432937181664,472,0.0,recovery/deactivation,wake/pre-sleep,pre_sleep_4h,high_fraction,True,,True
monitoring_core_wake_pre_sleep,56,next_sleep_start_hour_local_wrapped,monitoring core v0,float64,524,11.03565365025467,472,0.0,schedule/context,wake/pre-sleep,next_sleep_boundary,start_hour_local_wrapped,True,,True
monitoring_full_wake_pre_sleep,1,wake_hr_histogram_entropy,monitoring full v0 catalog,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,histogram_entropy,True,,True
monitoring_full_wake_pre_sleep,2,wake_hr_iqr,monitoring full v0 catalog,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,iqr,True,,True
monitoring_full_wake_pre_sleep,3,wake_hr_kurtosis,monitoring full v0 catalog,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,kurtosis,True,,True
monitoring_full_wake_pre_sleep,4,wake_hr_mad,monitoring full v0 catalog,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,mad,True,,True
monitoring_full_wake_pre_sleep,5,wake_hr_max,monitoring full v0 catalog,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,max,True,,True
monitoring_full_wake_pre_sleep,6,wake_hr_mean,monitoring full v0 catalog,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,mean,True,,True
monitoring_full_wake_pre_sleep,7,wake_hr_median,monitoring full v0 catalog,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,median,True,,True
monitoring_full_wake_pre_sleep,8,wake_hr_min,monitoring full v0 catalog,float64,557,5.432937181663837,472,0.0,distribution/shape,wake,wake_phase,min,True,,True
