column,dtype,non_null_count,non_null_pct,missing_count,missing_pct,n_unique,is_constant,zero_pct,first_non_null_date,last_non_null_date,coverage_span_days,coverage_within_span_pct,example_values,min,p05,p25,median,p75,p95,max,mean,std,inferred_unit,inferred_group,notes,used_in_quality,used_in_eda,candidate_model_feature,analysis_priority
allDayStress_TOTAL_stressOffWristCount,Int64,579,99.82758620689656,1,0.1724137931034483,212,False,0.0,2023-05-26,2026-02-05,987,99.82758620689656,"[26, 59, 189, 53, 38]",1.0,19.0,44.0,67.0,118.0,858.1000000000003,1440.0,164.54576856649396,298.9141407813515,,stress,,False,True,True,medium
allDayStress_TOTAL_stressTooActiveCount,Int64,547,94.3103448275862,33,5.689655172413794,268,False,0.0,2023-05-26,2026-02-05,987,94.3103448275862,"[93, 285, 169, 249, 202]",1.0,31.0,99.0,152.0,208.0,311.7999999999997,1072.0,163.93235831809872,100.03173944342116,,stress,,False,True,True,medium
allDayStress_TOTAL_totalDuration,Int64,580,100.0,0,0.0,166,False,0.0,2023-05-26,2026-02-05,987,100.0,"[22080, 84840, 85440, 85740, 85980]",1080.0,32472.000000000004,84000.0,85680.0,86160.0,86400.0,89820.0,79135.6551724138,16770.175406429367,,stress,,False,True,True,medium
allDayStress_TOTAL_totalStressCount,Int64,580,100.0,0,0.0,166,False,0.0,2023-05-26,2026-02-05,987,100.0,"[368, 1414, 1424, 1429, 1433]",18.0,541.2,1400.0,1428.0,1436.0,1440.0,1497.0,1318.9275862068966,279.5029234404895,,stress,,False,True,True,medium
allDayStress_TOTAL_totalStressIntensity,Int64,547,94.3103448275862,33,5.689655172413794,546,False,0.0,2023-05-26,2026-02-05,987,94.3103448275862,"[-6142, 29734, 1676, 31574, 26626]",-76210.0,-33192.7,-13922.0,-2686.0,8617.0,23332.29999999997,45292.0,-3299.943327239488,17178.054556834664,,stress,,False,True,True,medium
allDayStress_TOTAL_uncategorizedDuration,Int64,579,99.82758620689656,1,0.1724137931034483,212,False,0.0,2023-05-26,2026-02-05,987,99.82758620689656,"[1560, 3540, 11340, 3180, 2280]",60.0,1140.0,2640.0,4020.0,7080.0,51486.000000000015,86400.0,9872.746113989637,17934.84844688109,,stress,,False,True,True,medium
averageSpo2Value,Int64,487,83.9655172413793,93,16.034482758620687,9,False,0.0,2023-05-28,2026-02-05,985,84.2560553633218,"[93, 92, 96, 95, 94]",89.0,92.0,93.0,94.0,95.0,96.0,98.0,94.34086242299794,1.372433510335886,percent,spo2,,False,True,True,medium
bodyBatteryStat_DURINGSLEEP,Int64,274,47.241379310344826,306,52.758620689655174,66,False,0.0,2023-12-18,2026-02-05,781,72.87234042553192,"[60, 70, 37, 59, 71]",2.0,36.65,62.0,71.0,80.0,90.34999999999997,95.0,69.18613138686132,16.143076777248947,,body_battery,,False,True,True,medium
bodyBatteryStat_DURINGSLEEP_bodyBatteryStatus,str,274,47.241379310344826,306,52.758620689655174,1,True,,2023-12-18,2026-02-05,781,72.87234042553192,"[""MEASURED""]",,,,,,,,,,,body_battery,,False,True,True,medium
bodyBatteryStat_DURINGSLEEP_statTimestamp,str,274,47.241379310344826,306,52.758620689655174,274,False,,2023-12-18,2026-02-05,781,72.87234042553192,"[""2023-12-18T09:12:00.0"", ""2023-12-19T07:44:00.0"", ""2023-12-20T07:20:00.0"", ""2023-12-21T07:21:00.0"", ""2023-12-22T10:19:00.0""]",,,,,,,,,,datetime,body_battery,ISO datetime string,False,True,True,medium
